id,title,description,category,tags,address,city,state,zip,phone,email,website,hours,audience,services,image_url,latitude,longitude,is_featured,is_approved,created_at,updated_at,user_id,click_count,schedule,action_urls,rating,review_count
79,University District Food Bank,Preventing hunger in Northeast Seattle by providing reliable access to healthy food.,Food Pantries,"food,pantry,grocery,northeast seattle,family,senior,veteran,student,adult,child,youth,individual,nutrition,hunger,meal,snap,groceries",5017 Roosevelt Way NE,Seattle,WA,98105,(206) 523-7060,info@udistrictfoodbank.org,https://www.udistrictfoodbank.org,"Mon, Wed, Fri 10AM-3PM",Northeast Seattle residents,"Grocery pickup, home delivery",https://www.freefood.org/gallery/2576_1637595401.jpg,47.6657,-122.3177,True,True,2026-01-14 16:40:10.091134,2026-01-14 16:40:10.091134,,419,,[],3.7,111.0
80,Northwest Harvest SODO Community Market,"Washington's leading food justice organization, providing millions of nutritious meals each month and advocating for equitable access to food for all people across the state.",Food Pantries,"food,market,produce,sodo,family,senior,veteran,student,adult,child,youth,individual,nutrition,hunger,meal,pantry,snap,groceries",1915 4th Ave S,Seattle,WA,98134,(206) 625-0755,info@northwestharvest.org,https://www.northwestharvest.org,"Mon, Wed, Fri 8AM-2PM",Everyone,"Free groceries, no ID required",https://www.northwestharvest.org/wp-content/themes/nwh/assets/images/logo.svg,47.5873,-122.3297,True,True,2026-01-14 16:40:10.110781,2026-01-14 16:40:10.110781,,354,,"[{""url"":""https://www.northwestharvest.org/donate"",""label"":""Donate""}]",3.8,76.0
81,Ballard Food Bank,"A ""grocery store"" style food bank and community resource hub in NW Seattle providing nutritious food, financial assistance, and healthcare navigation services to neighbors in need.",Food,"food,ballard,hygiene,financial,family,senior,veteran,student,adult,child,youth,individual,nutrition,hunger,meal,pantry,snap,groceries,food assistance,ebt",1400 NW Leary Way,Seattle,WA,98107,(206) 789-7800,info@ballardfoodbank.org,https://www.ballardfoodbank.org,"Mon, Thu 2PM-7PM","Ballard, Magnolia, Queen Anne","Food bank, hygiene bar, financial assistance",https://static1.squarespace.com/static/55677983e4b0c20f789e900a/t/5f8f8b8a0a0c4b2b3a1a2b3c/1603226506456/BFB_Logo_FullColor.png,47.6625,-122.3734,False,True,2026-01-14 16:40:10.13158,2026-01-14 16:40:10.13158,,296,,"[{""url"":""https://www.ballardfoodbank.org/donate"",""label"":""Donate""}]",4.5,166.0
82,Rainier Valley Food Bank,Providing healthy and culturally appropriate food to South Seattle.,Food Pantries,"food,rainier valley,south seattle,family,senior,veteran,student,adult,child,youth,individual,nutrition,hunger,meal,pantry,snap,groceries",4205 Rainier Ave S,Seattle,WA,98118,(206) 723-4105,info@rvfb.org,https://www.rvfb.org,"Wed, Sat 9:30AM-2PM",South Seattle residents,"Food distribution, home delivery",https://media.assettype.com/southseattleemerald%2F2025-11-26%2F4bsjtpqo%2F2025-11.27-Rainier-Valley-Food-Bank-Mural-by-Susan-Fried-9.jpg?w=640&auto=format%2Ccompress,47.5647,-122.2889,False,True,2026-01-14 16:40:10.148685,2026-01-14 16:40:10.148685,,489,,[],4.5,236.0
83,Country Doctor Community Clinic,"Providing high-quality, caring, and accessible healthcare to the Capitol Hill community.",Medical Care,"medical,clinic,capitol hill,dental,family,senior,veteran,student,adult,child,youth,individual,health,doctor",500 19th Ave E,Seattle,WA,98112,(206) 299-1600,info@countrydoctor.org,https://countrydoctor.org,Mon-Fri 9AM-5PM,"Everyone, low-income","Primary care, dental, behavioral health",https://img.p.mapq.st/?url=https://s3-media0.fl.yelpcdn.com/bphoto/OdfyRj4vAFXliqb-RvKi5g/l.jpg?w=3840&q=75,47.6234,-122.3073,True,True,2026-01-14 16:40:10.171059,2026-01-14 16:40:10.171059,,148,,[],4.8,228.0
84,Neighborcare Health at Pike Place Market,Comprehensive healthcare and support services in downtown Seattle.,Medical Care,"health,downtown,market,clinic,family,senior,veteran,student,adult,child,youth,individual,medical,doctor",1930 Post Alley,Seattle,WA,98101,(206) 728-4143,,https://neighborcare.org,Mon-Fri 8AM-5PM,"Downtown residents, homeless","Medical, housing support, mental health",https://neighborcare.org/media/4006/pike-content-marketing-card.png,47.6101,-122.3421,True,True,2026-01-14 16:40:10.19397,2026-01-14 16:40:10.19397,,139,,[],3.8,226.0
85,Harborview Medical Center - Pioneer Square Clinic,Primary health care and outreach for downtown and Pioneer Square residents.,Medical Care,"medical,pioneer square,harborview,family,senior,veteran,student,adult,child,youth,individual,health,clinic,doctor",206 3rd Ave S,Seattle,WA,98104,(206) 744-1500,,https://www.uwmedicine.org,Mon-Fri 8AM-4:30PM,"Homeless, low-income","Primary care, nursing, podiatry",https://seattlemedium.com/wp-content/uploads/2022/11/UW-Medicines-Pioneer-Square-Clinic-748x486px.jpg,47.6008,-122.3303,False,True,2026-01-14 16:40:10.20787,2026-01-14 16:40:10.20787,,421,,[],4.0,26.0
86,Carolyn Downs Family Medical Center,Providing health services to the Central District community since 1970.,Medical Care,"medical,central district,family,senior,veteran,student,adult,child,youth,individual,health,clinic,doctor",2101 E Yesler Way,Seattle,WA,98122,(206) 299-1900,,https://countrydoctor.org/carolyn-downs,Mon-Fri 9AM-5PM,"Families, youth","Family medicine, prenatal care, youth clinic",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgaXbt6ak400M-jeYQpT1Dr8F22NWEywpRoQ&s,47.6017,-122.3041,False,True,2026-01-14 16:40:10.221727,2026-01-14 16:40:10.221727,,483,,[],4.2,146.0
87,Mary's Place - The Regrade,Emergency shelter and services for women and families experiencing homelessness.,Shelters,"shelter,women,families,homeless,family,senior,veteran,student,adult,child,youth,individual,emergency",2213 8th Ave,Seattle,WA,98121,(206) 621-8474,info@marysplaceseattle.org,https://www.marysplaceseattle.org,24/7,"Women, families with children","Shelter, housing navigation, meals",https://komonews.com/resources/media/ab99a381-9349-4d98-87ef-a3e14739113b-large16x9_6.jpg,47.6167,-122.3396,True,True,2026-01-14 16:40:10.235416,2026-01-14 16:40:10.235416,,398,Emergency shelter and services for families,"[{""url"":""https://www.marysplaceseattle.org/donate"",""label"":""Donate""},{""url"":""https://www.marysplaceseattle.org/volunteer"",""label"":""Volunteer""}]",3.8,82.0
88,DESC (Downtown Emergency Service Center),"Integrated services including housing, emergency shelter, crisis intervention, and healthcare.",Shelters,"homeless,shelter,housing,crisis,family,senior,veteran,student,adult,child,youth,individual,emergency",515 3rd Ave,Seattle,WA,98104,(206) 464-1570,info@desc.org,https://www.desc.org,24/7,"Chronically homeless, vulnerable adults","Emergency shelter, permanent supportive housing",https://www.desc.org/wp-content/uploads/2024/05/BloomsideCJHeader-2-750x450.jpg,47.6025,-122.3312,True,True,2026-01-14 16:40:10.261474,2026-01-14 16:40:10.261474,,484,,[],3.7,37.0
89,Plymouth Housing,Providing permanent supportive housing for adults experiencing chronic homelessness.,Help Finding Housing,"housing,permanent,adults,family,senior,veteran,student,adult,child,youth,individual,shelter,rent,eviction,homeless",2113 3rd Ave,Seattle,WA,98121,(206) 374-9409,info@plymouthhousing.org,https://plymouthhousing.org,Mon-Fri 9AM-5PM,Single adults,"Permanent housing, case management",https://i.ytimg.com/vi/odHoR3wtFQo/mqdefault.jpg,47.6133,-122.3435,False,True,2026-01-14 16:40:10.277177,2026-01-14 16:40:10.277177,,291,,[],3.9,61.0
90,YouthCare's Orion Center,A safe place for youth and young adults to access services and support.,Shelters,"youth,drop-in,housing,homeless,family,senior,veteran,student,adult,child,individual",1828 Yale Ave,Seattle,WA,98101,(206) 622-5555,info@youthcare.org,https://youthcare.org,Mon-Fri 12PM-5PM,Youth 12-24,"Drop-in center, meals, housing referrals",https://i0.wp.com/youthcare.org/wp-content/uploads/2018/06/orion-center.jpg?fit=825%2C464&ssl=1,47.6177,-122.3308,False,True,2026-01-14 16:40:10.292154,2026-01-14 16:40:10.292154,,194,24/7 Crisis Support | Drop-in: 9am-8pm Daily,"[{""url"":""https://youthcare.org/volunteer"",""label"":""Volunteer""},{""url"":""https://youthcare.org/donate"",""label"":""Donate""}]",4.5,273.0
91,WorkSource Seattle-King County,Connecting job seekers with employment and training opportunities.,Help Finding a Job,"jobs,career,training,state,family,senior,veteran,student,adult,child,youth,individual",2024 3rd Ave,Seattle,WA,98121,(206) 436-8600,info@worksourceskc.org,https://worksourceskc.org,Mon-Fri 8AM-5PM,Job seekers,"Job listings, workshops, career counseling",https://www.worksourceskc.org/wp-content/uploads/2024/08/img-0389.jpg,47.6128,-122.3418,True,True,2026-01-14 16:40:10.30876,2026-01-14 16:40:10.30876,,218,,[],3.5,44.0
92,Seattle Jobs Initiative,Creating opportunities for people to support themselves and their families through living-wage careers.,Job Training,"training,careers,education,family,senior,veteran,student,adult,child,youth,individual,job training,workforce,skills,career",1200 12th Ave S,Seattle,WA,98144,(206) 628-6975,info@seattlejobsinit.com,https://www.seattlejobsinit.com,Mon-Fri 8AM-5PM,Low-income residents,"Job training, college navigation",https://iexaminer.org/wp-content/uploads/2018/03/173-1733890_seattle-jobs-initiative-ink-hd-png-download.png,47.5913,-122.3168,False,True,2026-01-14 16:40:10.322917,2026-01-14 16:40:10.322917,,179,,[],4.3,195.0
93,Seattle Public Library - Central Library,"Access to books, computers, wifi, and community programs in an iconic building.",Tutoring & Mentoring,"library,books,wifi,classes,family,senior,veteran,student,adult,child,youth,individual",1000 4th Ave,Seattle,WA,98104,(206) 386-4636,ask@spl.org,https://www.spl.org,Mon-Sun 10AM-6PM,Everyone,"Books, internet, classes, social services",https://www.spl.org/Seattle-Public-Library/images/locations/cen/CEN%20Highlights/CENBuilding_WebGraphic.jpg.jpeg,47.6067,-122.3325,True,True,2026-01-14 16:40:10.341576,2026-01-14 16:40:10.341576,,146,,[],4.4,77.0
