NAME,LINK,ADDRESS,CITY,ZIP,ZIP4,PHONE,FAX,ACUTE,ICU,CAH,Heli,Weblink,Beds_Total,Beds_Total_ICU,Updated,Beds_Psychiatric,longitude,latitude
"Eastern State Hospital",1,"Maple Street   P.O. Box A","Medical Lake","99022","0045","(509) 299-4351","","No","No","No","No","https://www.dshs.wa.gov/bhsia/division-state-hospitals/eastern-state-hospital-overview",317,0,[object Object],91,47.573151803965686,-117.69396468518634
"Madigan Army Medical Center",2,"Ft. Lewis","Tacoma","98431","5000","(253) 968-1215","(253) 968-0365","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=147",222,60,[object Object],0,47.10867540024893,-122.55228494125085
"PeaceHealth United General Medical Center",3,"2000 Hospital Drive","Sedro-Woolley","98204"," ","(360) 856-6021","(360)856-7204","Yes","Yes","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=4",6,3,[object Object],0,48.49609165217648,-122.27633290049569
"US Air Force Hospital",4,"701 Hospital Loop","Fairchild Air Force","98438","1130","(509) 247-5216","(509) 247-2170","No","No","No","Yes","http://www.fairchild.af.mil/units/92ndmedicalgroup/index.asp",48,0,[object Object],0,47.6276200948642,-117.65640137046182
"Mid-Valley Hospital ",5,"810 Valley Way","Omak","98841"," ","(509) 826-1760","(509) 826-7211","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=56",23,0,[object Object],0,48.39657349045799,-119.54654041033542
"Franciscan Health St Joseph Medical Center ",6,"1717 Sounth ""J"" St","Tacoma","98405","4944","(253) 627-4101","(253) 591-6789","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=101",366,48,[object Object],23,47.24599660391878,-122.44818965146918
"Mason General Hospital ",7,"901 Mountain View Drive","Shelton","98584","2057","(360) 426-1611","(360) 427-1921","Yes","Yes","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=83",27,10,[object Object],0,47.22589645597676,-123.11442982100287
"Arbor Health - Morton General Hospital",8,"521 Adams St","Morton","98356","0019","(360) 496-5112","(360) 496-3511","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=49",17,0,[object Object],0,46.55568043305095,-122.28036897397389
"Snoqualmie Valley Hospital District",9,"9575 Ethan Wade Way SE","Snoqualmie","98065","2021","(425) 831-2300","(425) 831-1994","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=166",28,0,[object Object],0,47.514505308066674,-121.82646959493627
"Naval Hospital",10,"1 Boone Road","Bremerton","98312","1898","(360) 478-9232","(360) 478-9577","Yes","Yes","No","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=141",31,6,[object Object],0,47.595003355200774,-122.69157541991237
"Veterans Affairs Medical Center",11,"77 Wainwright Drive","Walla Walla","99362","3975","(509) 525-5200","(509) 527-3452","No","No","No","No","http://www.wallawalla.va.gov/",102,0,[object Object],0,46.05355940230847,-118.35851711554233
"Lake Chelan Community Hospital ",12,"503 Highland Ave E","Chelan","98816","0908","(509) 682-2531","(509) 682-3475","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=21",29,0,[object Object],0,47.844976119507805,-120.00962712345228
"North Valley Hospital ",13,"2nd & Western","Tonasket","98855","0488","(509) 486-2151","(509) 486-3101","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=103",18,0,[object Object],0,48.70700794192798,-119.43874585162675
"Ocean Beach Hospital",14,"174 - 1st Ave North","Ilwaco","98624","0258","(360) 642-3181","(360) 642-8070","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=41",8,0,[object Object],0,46.31143972635372,-124.04264563132078
"Willapa Harbor Hospital",15,"800 Alder Street","South Bend","98586","0438","(360) 875-5526","(360) 875-6167","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=84",10,0,[object Object],0,46.662826305599765,-123.8123060666661
"Whitman Hospital and Medical Center",16,"1200 West Fairview Road","Colfax","99111","9579","(509) 397-3435","(509) 397-4713","Yes","No","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=24",21,0,[object Object],0,46.86893646695674,-117.37606355452246
"Skyline Hospital",17,"211 NE Skyline Dr","White Salmon","98672","0099","(509) 493-1101","(509) 493-3270","Yes","Yes","Yes","Yes","http://www.wsha.org/hospitalDetail.cfm?HID=109",13,2,[object Object],0,45.72238490047547,-121.47054494596087
"VA Puget Sound Health Care System - Tacoma",18,"9900 Veterens Drive SW","Tacoma","98433"," ","(253) 582-8440","(253) 396-6239","No","No","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=192",459,0,[object Object],0,47.133306181489765,-122.57851080338844
