X,Y,OBJECTID,SchoolCode,School,PhysicalAddress,ESDCode,ESDName,LEACode,LEAName,SchoolCategory,AYPCode,GradeCategory,LowestGrade,HighestGrade,TK,CongressionalDistrict,LegislativeDistrict,County,GeoCoded_Y,GeoCoded_X,BldgLatitude,BldgLongitude
-13603218.7336197,6117032.27711865,1,1656,10th Street School,"7204 27th Ave NE, Marysville, WA 98271-9162",29801,Northwest Educational Service District 189,31025,Marysville School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 2,Legislative District 38,Snohomish,48.061553,-122.195681,48.061145,-122.199808
-13686472.4813965,5938463.04592353,2,4500,A G West Black Hills High School,"7741 Littlerock Rd SW, Tumwater, WA 98512-7427",34801,Capital Region ESD 113,34033,Tumwater School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 10,Legislative District 22,Thurston,46.977864,-122.94776,46.977878,-122.947689
-13785570.3014409,5937504.07241712,3,2834,A J West Elementary School,"1801 Bay Ave, Aberdeen, WA 98520-5510",34801,Capital Region ESD 113,14005,Aberdeen School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 6,Legislative District 24,Grays Harbor,46.972081,-123.837981,46.972,-123.8379
-13070889.2545651,6052847.08103746,4,1533,A-3 Multiagency Adolescent Prog,"1807 N Washington St, Spokane, WA 99205-4758",32801,Educational Service District 101,32081,Spokane School District,"Public School,Alternative School",A,Other,6,12,No,Congressional District 5,Legislative District 3,Spokane,47.674331,-117.417732,47.674349,-117.41781
-13392835.189937,6008760.7575252,5,3209,Abraham Lincoln Elementary School,"1224 Methow St, Wenatchee, WA 98801-3552",4801,North Central Educational Service District 171,4246,Wenatchee School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 8,Legislative District 12,Chelan,47.407042,-120.309519,47.407,-120.3099
-13628503.1960887,5960726.43427452,6,5754,Academy for Community Transition,"15710 5th Ave E, Tacoma, WA 98445-1103",17801,Puget Sound Educational Service District 121,27403,Bethel School District,"Public School,Special Education School",S,High School,12,13,No,Congressional District 10,Legislative District 29,Pierce,47.114168,-122.426953,47.114157,-122.426942
-13629444.2909866,5959891.25928761,7,5372,Acceleration Academy,"16218 Pacific Ave S, Spanaway, WA 98387-8612",17801,Puget Sound Educational Service District 121,27403,Bethel School District,"Public School,Re-Engagement School",R,High School,9,12,No,Congressional District 10,Legislative District 29,Pierce,47.109041,-122.435442,47.109051,-122.435396
-13608171.5638514,6092010.39682177,8,4247,ACES High School,"9700 Holly Dr, Everett, WA 98204-2678",29801,Northwest Educational Service District 189,31006,Mukilteo School District,"Public School,Alternative School",A,High School,9,12,No,Congressional District 2,Legislative District 38,Snohomish,47.910953,-122.243584,47.9107,-122.2443
-13604208.5679292,6227280.67506606,9,2585,Acme Elementary School,"5200 Turkington Rd, Acme, WA 98220-9600",29801,Northwest Educational Service District 189,37507,Mount Baker School District,"Public School,Regular School",P,Elementary School,K,6,No,Congressional District 2,Legislative District 40,Whatcom,48.718775,-122.208821,48.7188,-122.2087
-13624602.3243769,6052706.81134462,10,2138,Adams Elementary School (Seattle),"6110 28th Ave NW, Seattle, WA 98107-5314",17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 7,Legislative District 36,King,47.673499,-122.392119,47.6735,-122.3919
-13047344.0742023,6048839.0805351,11,3259,Adams Elementary School (Spokane Valley),"14707 E 8th Ave, Spokane Valley, WA 99037-9670",32801,Educational Service District 101,32356,Central Valley School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 5,Legislative District 4,Spokane,47.650261,-117.206647,47.6501,-117.2063
-13065311.0372902,6044081.29115253,12,2156,Adams Elementary School (Spokane),"2909 E 37th Ave, Spokane, WA 99223-4519",32801,Educational Service District 101,32081,Spokane School District,"Public School,Regular School",P,Elementary School,PK,6,Yes,Congressional District 5,Legislative District 3,Spokane,47.621258,-117.367823,47.6213,-117.3677
-13404630.1804093,5850482.2567211,13,4518,Adams Elementary School (Wapato),"1309 S Camas Ave, Wapato, WA 98951-8735",39801,Educational Service District 105,39207,Wapato School District,"Public School,Regular School",P,Elementary School,3,5,No,Congressional District 4,Legislative District 14,Yakima,46.435882,-120.415803,46.435921,-120.415856
-13412917.2432124,5876199.37429909,14,2592,Adams Elementary School (Yakima),"723 S 8th St, Yakima, WA 98901-3322",39801,Educational Service District 105,39007,Yakima School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 4,Legislative District 14,Yakima,46.594821,-120.490066,46.5949,-120.4903
-13620656.2808462,5995939.65771812,15,3519,Adelaide Elementary School,"1635 SW 304th St, Federal Way, WA 98023-3431",17801,Puget Sound Educational Service District 121,17210,Federal Way School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 9,Legislative District 30,King,47.329039,-122.356663,47.328994,-122.356452
-13698908.0996498,5883249.30082828,16,2227,Adna Elementary School,"220 Dieckman Rd, Chehalis, WA 98532-9653",34801,Capital Region ESD 113,21226,Adna School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 3,Legislative District 19,Lewis,46.63869,-123.059175,46.6384,-123.0594
-13698618.6691668,5881936.13483861,17,2441,Adna Middle/High School,"121 Adna School Rd, Chehalis, WA 98532",34801,Capital Region ESD 113,21226,Adna School District,"Public School,Regular School",P,Other,6,12,No,Congressional District 3,Legislative District 19,Lewis,46.630897,-123.056705,46.6303,-123.0568
-13430750.6237685,5868863.78777431,18,2822,Ahtanum Valley Elementary School,"3006 S Wiley Rd, Yakima, WA 98903-9720",39801,Educational Service District 105,39208,West Valley School District (Yakima),"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 4,Legislative District 15,Yakima,46.549602,-120.650364,46.5496,-120.6505
-13590663.6819688,6094718.70723215,19,4265,AIM High School,"525 13th St, Snohomish, WA 98290-1833",29801,Northwest Educational Service District 189,31201,Snohomish School District,"Public School,Alternative School",A,High School,9,12,No,Congressional District 1,Legislative District 44,Snohomish,47.927253,-122.087021,47.927005,-122.087024
-13612423.9773992,6031736.56494924,20,3774,Aki Kurose Middle School,"3928 S Graham St, Seattle, WA 98118-3172",17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 9,Legislative District 37,King,47.546322,-122.28198,47.5465,-122.2825
-13611135.6778074,6028296.85755087,21,3778,Alan T. Sugiyama High School,"8601 Rainier Ave S, Seattle, WA 98118-4630",17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,"Public School,Alternative School",A,High School,9,12,No,Congressional District 9,Legislative District 37,King,47.52567,-122.270913,47.525639,-122.270927
-13591918.9264368,6057403.19350552,22,4424,Albert Einstein Elementary School,"18025 NE 116th St, Redmond, WA 98052-2816",17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 1,Legislative District 45,King,47.702227,-122.098174,47.7019,-122.0983
-13621374.0570997,6068625.35147827,23,3674,Albert Einstein Middle School,"19343 3rd Ave NW, Shoreline, WA 98177-3012",17801,Puget Sound Educational Service District 121,17412,Shoreline School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 7,Legislative District 32,King,47.769705,-122.362874,47.7697,-122.3629
-13639652.6863328,6237410.43371412,24,3200,Alderwood Elementary School,"3400 Hollywood Ave, Bellingham, WA 98225-1134",29801,Northwest Educational Service District 189,37501,Bellingham School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 2,Legislative District 42,Whatcom,48.778356,-122.525947,48.7788,-122.5271
-13608726.8272193,6080390.20087615,25,3560,Alderwood Middle School,"1132 172nd St SW, Lynnwood, WA 98037-8255",29801,Northwest Educational Service District 189,31015,Edmonds School District,"Public School,Regular School",P,Middle School,7,8,No,Congressional District 1,Legislative District 21,Snohomish,47.840684,-122.249083,47.840684,-122.249288
