inCredenti,inStatus,inFirstDat,inEffectiv,inExpirati,inFacility,inAddress1,inCity,inState,inCounty,inZip,inPlus4,Source,acAddress1,acAddress2,acCity,acState,acZip,acPlus4,acCounty,acCountyFi,acNumber,acPreDir,acStreetNa,acStreetTy,acPostDir,acUnitNum,acUnitType,acAddressT,acRBDI,acGarbage,acFound,acStatusCo,acErrorCod,acChangeCo,acResultCo,Accuracy,Av_score,Av_date,Certainty,Geolevel,Quality,X_coord,Y_coord,X_coords,Y_coords,Review,longitude,latitude
"PHAR.CF.00004193","ACTIVE","04/23/1992","06/01/2020","05/31/2021","Accredo Health Group Inc","22623 68th Ave S","KENT","WA","King","98032","1981","TIGER06 Streets","22623 68TH AVE S"," ","KENT","WA","98032","1981","King","53033","22623"," ","68th","Ave","S"," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.24945,47.39916,"-122.24945","47.39916",0,47.39915999995643,-122.24945000037947
"PHAR.CF.60982567","ACTIVE","09/06/2019","06/01/2020","05/31/2021","Credena Health Pharmacy Sacred Heart","101 W 8th Ave Ste 207653","SPOKANE","WA","Spokane","99204","2307","TIGER06 Streets","101 W 8TH AVE STE 207653"," ","SPOKANE","WA","99204","2307","Spokane","53063","101","W","8th","Ave"," ","Ste 207653","Ste","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-117.41303,47.64833,"-117.41303","47.64833",0,47.64833000001524,-117.41303000004173
"PHAR.CF.00056557","ACTIVE","02/16/2000","06/01/2020","05/31/2021","Fred Meyer Pharmacy 457","21045 Bothell Everett Hwy","BOTHELL","WA","Snohomish","98021","8405","TIGER06 Streets","21045 BOTHELL EVERETT HWY"," ","BOTHELL","WA","98021","8405","Snohomish","53061","21045"," ","Bothell Everett","Hwy"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.20751,47.80723,"-122.20751","47.80723",0,47.807230000160786,-122.20750999987523
"PHAR.CF.00000984-HOSP","ACTIVE","05/25/1962","06/01/2020","05/31/2021","Grays Harbor Community Hospital Pharmacy West","915 Anderson Dr","ABERDEEN","WA","Grays Harbor","98520","1006","TIGER06 Streets","915 ANDERSON DR"," ","ABERDEEN","WA","98520","1006","Grays Harbor","53027","915"," ","Anderson","Dr"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-123.84639,46.97922,"-123.84639","46.97922",0,46.979220000175054,-123.84639000013324
"PHAR.CF.00056682-HOSP","ACTIVE","06/30/2000","06/01/2020","05/31/2021","Harrison Medical Center Pharmacy Silverdale Campus","1780 NW Myhre Rd Ste 2160","SILVERDALE","WA","Kitsap","98383","8676","TIGER06 Streets","1780 NW MYHRE RD STE 2160"," ","SILVERDALE","WA","98383","8676","Kitsap","53035","1780","NW","Myhre","Rd"," ","Ste 2160","Ste","Highrise"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.67686,47.65521,"-122.67686","47.65521",0,47.655210000252275,-122.67685999984087
"PHAR.CF.60951017","ACTIVE","04/22/2019","06/01/2020","05/31/2021","Invara","507 Stevens Ave Unit AAA","SULTAN","WA","Snohomish","98294"," ","TIGER06 Streets","507 W STEVENS AVE UNIT AAA"," ","SULTAN","WA","98294","9515","Snohomish","53061","507","W","Stevens","Ave"," ","Unit Aaa","Unit","Highrise"," "," ","Yes","9"," ","Street Address Match, Invalid Suite","AC12,AE08,AS02","Close",91,"09/01/2020 12:31","1","CENSUS TRACT","03",-121.81523,47.8619,"-121.81523","47.86190",0,47.86189999978851,-121.81523000030988
"PHAR.CF.60867068","ACTIVE","08/22/2018","06/01/2020","05/31/2021","Mattawa Community Medical Clinic","210 Government Rd","MATTAWA","WA","Grant","99349"," ","TIGER06 Streets","210 GOVERNMENT RD"," ","MATTAWA","WA","99349"," ","Grant","53025","210"," ","Government","Rd"," "," "," "," "," "," ","Yes"," "," "," ","AS03","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-119.90542,46.73759,"-119.90542","46.73759",0,46.73758999980822,-119.90542000041681
"PHAR.CF.60343425","ACTIVE","06/14/2013","06/01/2020","05/31/2021","Paramount Pharmacy","7200 S 180th St Ste 104","TUKWILA","WA","King","98188","5548","TIGER06 Streets","7200 S 180TH ST STE 104"," ","TUKWILA","WA","98188","5548","King","53033","7200","S","180th","St"," ","Ste 104","Ste","Highrise"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.24368,47.44127,"-122.24368","47.44127",0,47.44127000029531,-122.243680000037
"PHAR.CF.00001028-HOSP","ACTIVE","05/31/1962","06/01/2020","05/31/2021","Providence Sacred Heart Medical Center and Children's Hospital","101 W 8th Ave","SPOKANE","WA","Spokane","99204","2307","TIGER06 Streets","101 W 8TH AVE"," ","SPOKANE","WA","99204","2307","Spokane","53063","101","W","8th","Ave"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-117.41303,47.64833,"-117.41303","47.64833",0,47.64833000001524,-117.41303000004173
"PHAR.CF.00058356","ACTIVE","07/15/2005","06/01/2020","05/31/2021","QFC Pharmacy #828","11224 NE 124th St","KIRKLAND","WA","King","98034","4301","TIGER06 Streets","11224 NE 124TH ST"," ","KIRKLAND","WA","98034","4301","King","53033","11224","NE","124th","St"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.18947,47.71124,"-122.18947","47.71124",0,47.71124000009753,-122.18947000000017
"PHAR.CF.60435382","ACTIVE","07/21/2014","06/01/2020","05/31/2021","RX Mart Pharmacy","300 E Sunset Dr","BELLINGHAM","WA","Whatcom","98225","1922","TIGER06 Streets","300 E SUNSET DR"," ","BELLINGHAM","WA","98225","1922","Whatcom","53073","300","E","Sunset","Dr"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.46506,48.77037,"-122.46506","48.77037",0,48.770370000228645,-122.46506000029017
"PHAR.CF.60515643","ACTIVE","02/03/2015","06/01/2020","05/31/2021","Safeway Pharmacy #0535","20711 Bothell Everett Hwy","BOTHELL","WA","Snohomish","98012","7139","TIGER06 Streets","20711 BOTHELL EVERETT HWY"," ","BOTHELL","WA","98012","7139","Snohomish","53061","20711"," ","Bothell Everett","Hwy"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.20735,47.81028,"-122.20735","47.81028",0,47.810279999709785,-122.20735000004166
"PHAR.CF.60516870","ACTIVE","02/04/2015","06/01/2020","05/31/2021","Safeway Pharmacy #1464","3215 Harrison Ave NW","OLYMPIA","WA","Thurston","98502","8704","TIGER06 Streets","3215 HARRISON AVE NW"," ","OLYMPIA","WA","98502","8704","Thurston","53067","3215"," ","Harrison","Ave","NW"," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.94259,47.04704,"-122.94259","47.04704",0,47.047039999783536,-122.94258999994422
"PHAR.CF.60517167","ACTIVE","02/05/2015","06/01/2020","05/31/2021","Safeway Pharmacy #1528","460 SW Mt Si Blvd","NORTH BEND","WA","King","98045","8291","TIGER06 Streets","460 SW MT SI BLVD"," ","NORTH BEND","WA","98045","8291","King","53033","460","SW","Mt Si","Blvd"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-121.7913,47.48675,"-121.79130","47.48675",0,47.486749999856606,-121.7913000004418
"PHAR.CF.60629339","ACTIVE","04/12/2016","06/01/2020","05/31/2021","Safeway Pharmacy #3317","3355 Bethel Rd SE","PORT ORCHARD","WA","Kitsap","98366","5635","TIGER06 Streets","3355 BETHEL RD SE"," ","PORT ORCHARD","WA","98366","5635","Kitsap","53035","3355"," ","Bethel","Rd","SE"," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.63108,47.51773,"-122.63108","47.51773",0,47.51772999984239,-122.63107999973775
"PHAR.CF.00056612","ACTIVE","03/23/2000","06/01/2020","05/31/2021","Sultan Pharmacy and Natural Care","30231 US 2","SULTAN","WA","Snohomish","98294","8693","TIGER06 Streets","30231 US 2"," ","SULTAN","WA","98294","8693","Snohomish","53061","30231"," ","US 2"," "," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",89,"09/01/2020 12:31","1","CENSUS TRACT","03",-121.83074,47.85823,"-121.83074","47.85823",0,47.85822999980304,-121.83074000029009
"PHAR.CF.00057534","ACTIVE","03/12/2003","06/01/2020","05/31/2021","Walgreens Pharmacy 06614","20812 Bothell Everett Hwy","BOTHELL","WA","Snohomish","98021","8404","TIGER06 Streets","20812 BOTHELL EVERETT HWY"," ","BOTHELL","WA","98021","8404","Snohomish","53061","20812"," ","Bothell Everett","Hwy"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.20753,47.809,"-122.20753","47.80900",0,47.80900000028768,-122.20752999996672
"PHAR.CF.00057508","ACTIVE","02/04/2003","06/01/2020","05/31/2021","Walgreens Pharmacy 06917","8333 Martin Way E","LACEY","WA","Thurston","98516","5808","TIGER06 Streets","8333 MARTIN WAY E"," ","LACEY","WA","98516","5808","Thurston","53067","8333"," ","Martin","Way","E"," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.76397,47.05681,"-122.76397","47.05681",0,47.05681000005209,-122.76397000035291
"PHAR.CF.00058563","ACTIVE","02/28/2006","06/01/2020","05/31/2021","Walgreens Pharmacy 09596","585 Gage Blvd","RICHLAND","WA","Benton","99352","7761","TIGER06 Streets","585 GAGE BLVD"," ","RICHLAND","WA","99352","7761","Benton","53005","585"," ","Gage","Blvd"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-119.28194,46.22714,"-119.28194","46.22714",0,46.2271399998877,-119.28193999969629
"PHAR.CF.00059213","ACTIVE","10/19/2007","06/01/2020","05/31/2021","Walgreens Pharmacy 09765","5506 N Road 68","PASCO","WA","Franklin","99301","9627","TIGER06 Streets","5506 ROAD 68"," ","PASCO","WA","99301","9627","Franklin","53021","5506"," ","Road 68"," "," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",91,"09/01/2020 12:31","1","CENSUS TRACT","03",-119.23327,46.33579,"-119.23327","46.33579",0,46.33578999974452,-119.23326999984813
"PHAR.CF.00058475","ACTIVE","11/29/2005","06/01/2020","05/31/2021","Walmart Pharmacy #10-3380","4820 N Road 68","PASCO","WA","Franklin","99301","9009","TIGER06 Streets","4820 ROAD 68"," ","PASCO","WA","99301","9009","Franklin","53021","4820"," ","Road 68"," "," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",91,"09/01/2020 12:31","1","CENSUS TRACT","03",-119.22835,46.3313,"-119.22835","46.33130",0,46.331300000267035,-119.22834999980057
"PHAR.CF.60490326","ACTIVE","10/16/2014","06/01/2020","05/31/2021","Walmart Pharmacy #10-4757","5110 Yelm Hwy SE","LACEY","WA","Thurston","98503","5060","TIGER06 Streets","5110 YELM HWY SE"," ","LACEY","WA","98503","5060","Thurston","53067","5110"," ","Yelm","Hwy","SE"," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.81403,46.99625,"-122.81403","46.99625",0,46.99625000022119,-122.81403000027106
"PHAR.CF.00057553","ACTIVE","06/06/2003","06/01/2020","05/31/2021","Yokes Pharmacy 12","4905 N Road 68","PASCO","WA","Franklin","99301","8934","TIGER06 Streets","4905 ROAD 68"," ","PASCO","WA","99301","8934","Franklin","53021","4905"," ","Road 68"," "," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",91,"09/01/2020 12:31","1","CENSUS TRACT","03",-119.22435,46.32748,"-119.22435","46.32748",0,46.327479999762495,-119.22435000036806
"HPAC.CF.00001986.014","APPROVED","12/15/2016","06/01/2017","05/31/2021","2 West Clinics","325 9th Ave","SEATTLE","WA","King","98104","2420","TIGER10 Streets","325 9TH AVE"," ","SEATTLE","WA","98104","2420","King","53033","325"," ","9th","Ave"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.32346,47.60404,"-122.32346","47.60404",0,47.604039999998655,-122.32346000025721
"HPAC.CF.00001986.008","APPROVED","12/15/2016","06/01/2017","05/31/2021","3 West Clinics","325 9th Ave","SEATTLE","WA","King","98104","2420","TIGER10 Streets","325 9TH AVE"," ","SEATTLE","WA","98104","2420","King","53033","325"," ","9th","Ave"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.32346,47.60404,"-122.32346","47.60404",0,47.604039999998655,-122.32346000025721
