Agency,Clinic,Address,City,ZipCode,State,Longitude,Latitude,GeoDate,longitude,latitude
"Adams County Health Dept","Adams CHD-Othello","425 E Main St, Ste 700","Othello",99344,"WA",-119.16909,46.82691,[object Object],46.826910000000005,-119.16908999999998
"Adams County Health Dept","Adams CHD-Ritzville","108 W Main St","Ritzville",99169,"WA",-118.38054,47.12744,[object Object],47.12743999999999,-118.38053999999998
"Asotin County Health District","Asotin CHD-Asotin","102 1st St","Asotin",99402,"WA",-117.05448,46.34116,[object Object],46.34116000000005,-117.05448
"Asotin County Health District","Asotin CHD-Clarkston","935 6th St","Clarkston",99403,"WA",-117.04549,46.41203,[object Object],46.412030000000044,-117.04548999999997
"Benton Franklin Health District","Benton Franklin HD-Benton City","701 Dale Avenue","Benton City",99320,"WA",-119.48501,46.26297,[object Object],46.26297000000001,-119.48501000000002
"Benton Franklin Health District","Benton Franklin HD-Kennewick","7102 W Okanogan Place","Kennewick",99336,"WA",-119.21599,46.22325,[object Object],46.22325000000001,-119.21598999999996
"Benton Franklin Health District","Benton Franklin HD-Pasco","412 W Clark St","Pasco",99301,"WA",-119.09145,46.23158,[object Object],46.23158000000001,-119.09145000000004
"Chelan Douglas Health District","Chelan Douglas HD-East Wenatchee","200 VALLEY MALL PARKWAY","East Wenatchee",98802,"WA",-120.28898,47.40704,[object Object],47.40704000000003,-120.28897999999998
"Chelan Douglas Health District","Chelan Douglas HD-Leavenworth","817 Commercial St","Leavenworth",98826,"WA",-120.66095,47.59426,[object Object],47.59425999999999,-120.66094999999997
"CHI Franciscan Medical Group","CHI Franciscan-Harrison Medical Center WIC","21 NE Romance Hill","Belfair",98528,"WA",-122.82911,47.44675,[object Object],47.44674999999997,-122.82910999999999
"CHI Franciscan Medical Group","CHI Franciscan-Highline","13030 Military Rd S #108","Tukwila",98168,"WA",-122.29511,47.48595,[object Object],47.48594999999999,-122.29511000000001
"CHI Franciscan Medical Group","CHI Franciscan-Lakewood","11216 Bridgeport Way SW","Lakewood",98499,"WA",-122.50455,47.15559,[object Object],47.15559,-122.50454999999997
"CHI Franciscan Medical Group","CHI Franciscan-Parkland","121 South 132nd St","Tacoma",98444,"WA",-122.43427,47.13745,[object Object],47.13745,-122.43427000000001
"Clallam County Dept of Health and Human Services","Clallam CDHHS-Sequim","583 W Washington St","Sequim",98382,"WA",-123.11551,48.07947,[object Object],48.079469999999986,-123.11550999999999
"Clallam County Dept of Health and Human Services","Clallam CDHHS-Forks","140 W C St","Forks",98331,"WA",-124.38683,47.94784,[object Object],47.947839999999985,-124.38683
"Clallam County Dept of Health and Human Services","Clallam CDHHS-Port Angeles","111 E THIRD St","Port Angeles",98362,"WA",-123.43422,48.11724,[object Object],48.11724000000004,-123.43422000000002
"Columbia Basin Health Association","Columbia Basin HA-Mattawa","601 Government Way","Mattawa",99349,"WA",-119.89934,46.73809,[object Object],46.738090000000035,-119.89934000000001
"Columbia Basin Health Association","Columbia Basin HA-Othello","1515 E COLUMBIA ST","Othello",99344,"WA",-119.16846,46.8127,[object Object],46.81269999999998,-119.16845999999995
"Columbia Basin Health Association","Columbia Basin HA-Royal City","229 Balsam St NW","Royal City",99357,"WA",-119.63417,46.89992,[object Object],46.89991999999998,-119.63416999999997
"Columbia County Public Health Dept","Columbia CPHD-Dayton","112 N 2ND","Dayton",99328,"WA",-117.97942,46.32099,[object Object],46.32099000000005,-117.97941999999996
"Columbia Valley Comm Health","Columbia Valley CH-Chelan","105 S Apple Blossom Drive","Chelan",98816,"WA",-120.07379,47.86248,[object Object],47.86248000000004,-120.07379000000003
"Columbia Valley Comm Health","Columbia Valley CH-Wenatchee","502 Orondo Ave","Wenatchee",98801,"WA",-120.31614,47.42016,[object Object],47.420159999999996,-120.31614
"Colville Confederated Tribes","Colville Confederated Tribes-Keller","11665 SOUTH HIGHWAY 21","Keller",99140,"WA",-118.68369,48.07806,[object Object],48.07806,-118.68369000000003
"Colville Confederated Tribes","Colville Confederated Tribes-Grand Coulee","411 FORTUYN ROAD","Grand Coulee",99133,"WA",-119.00654,47.94242,[object Object],47.94242000000007,-119.00654000000002
"Colville Confederated Tribes","Colville Confederated Tribes-Inchelium","#39 Short Cut Road","Inchelium",99138,"WA",-118.20474,48.29896,[object Object],48.29895999999999,-118.20473999999996
"Colville Confederated Tribes","Colville Confederated Tribes-Nespelem","21 Colville St","Nespelem",99155,"WA",-118.97539,48.13263,[object Object],48.13263,-118.97538999999999
"Colville Confederated Tribes","Colville Confederated Tribes-Omak ","617 Benton St","Omak",98841,"WA",-119.52506,48.40275,[object Object],48.40275000000006,-119.52505999999998
"Comm Action Council Lewis, Mason, Thurston Co","Comm Action Council LMT-Shelton","807 W Railroad Ave","Shelton",98584,"WA",-123.10903,47.21334,[object Object],47.21333999999998,-123.10903
"Comm Action of Skagit County","Comm Action Skagit Co-Naval Air Station Whidbey Is","260 W Pioneer Way, Bldg 13, Ste 111A","Oak Harbor",98278,"WA",-122.629576,48.289283,[object Object],48.28928299999999,-122.62957599999999
"Comm Action of Skagit County","Comm Action Skagit Co-Anacortes","330 PACIFIC PLACE","Mount Vernon",98273,"WA",-122.33604,48.44095,[object Object],48.440950000000015,-122.33603999999994
"Comm Action of Skagit County","Comm Action Skagit Co-Mt Vernon","330 Pacific Place","Mount Vernon",98273,"WA",-122.33604,48.44095,[object Object],48.440950000000015,-122.33603999999994
"Comm Health of Central Washington","Comm Health CW-Cle Elum","112 W RAILROAD AVE","Cle Elum",98922,"WA",-120.94001,47.19438,[object Object],47.194380000000045,-120.94001
"Comm Health of Central Washington","Comm Health CW-Ellensburg","607 E MOUNTAIN VIEW AVE","Ellensburg",98926,"WA",-120.53957,46.98528,[object Object],46.98528,-120.53956999999996
"Cowlitz Family Health Center","Cowlitz Family HC-Castlerock","214 Cowlitz Ave","Castle Rock",98611,"WA",-122.91048,46.27553,[object Object],46.275529999999996,-122.91047999999998
"Cowlitz Family Health Center","Cowlitz Family HC-Longview","1717 Olympia Way","Longview",98632,"WA",-122.94012,46.14056,[object Object],46.140559999999994,-122.94011999999998
"Cowlitz Family Health Center","Cowlitz Family HC-Woodland","1345 Lewis River Road","Woodland",98674,"WA",-122.74081,45.91121,[object Object],45.911210000000004,-122.74080999999997
"Family Health Centers","Family Health Center-Omak","1003 Koala Ave","Omak",98841,"WA",-119.50131,48.42498,[object Object],48.424979999999984,-119.50131000000002
"Family Health Centers","Family Health Center-Twisp","315 S Lincoln, Room 1","Twisp",98856,"WA",-120.12039,48.363,[object Object],48.36300000000003,-120.12038999999997
"Family Health Centers","Family Health Center-Tonasket","17 S Western #2","Tonasket",98855,"WA",-119.43826,48.70793,[object Object],48.70792999999999,-119.43825999999994
"Family Health Centers","Family Health Center-Brewster","525 W Jay Ave","Brewster",98812,"WA",-119.78341,48.09996,[object Object],48.09996000000012,-119.78340999999998
"Family Health Centers","Family Health Center-Bridgeport","1400 COLUMBIA AVE","Bridgeport",98813,"WA",-119.67182,48.00801,[object Object],48.00801,-119.67182000000004
"Family Health Centers","Family Health Center-Oroville","1321 Main St","Oroville",98844,"WA",-119.43589,48.93811,[object Object],48.93811000000005,-119.43588999999999
"Garfield County Health District","Garfield CHD-Pomeroy","121 S 10th ST","Pomeroy",99347,"WA",-117.59723,46.473,[object Object],46.473000000000056,-117.59723
"Grays Harbor Co Public Health & Social Services","Grays Harbor CPHSS-Aberdeen","2109 SUMNER AVE","Aberdeen",98520,"WA",-123.84235,46.97556,[object Object],46.97556000000002,-123.84234999999998
"Island County Public Health","Island CPH-Camano Island","127 N East Camano Dr, Ste B","Camano Island",98282,"WA",-122.52686,48.20938,[object Object],48.209380000000046,-122.52685999999999
