Name,Type,County,Address,City,Zip
WorkSource Auburn,Center,King,2707 I St. NE,Auburn,98002
WorkSource North Seattle,Center,King,9600 College Way N. OCE&E Bldg,Seattle,98103
WorkSource Downtown Seattle,Affiliate,King,2024 Third Ave.,Seattle,98121
WorkSource Rainier,Affiliate,King,2531 Rainier Ave. S.,Seattle,98144
WorkSource South Seattle,Affiliate,King,6000 16th Ave. SW,Seattle,98106
Bellevue College Career Connections,Connection,King,3000 Landerholm Circle SE,Bellevue,98007
Cascadia College,Connection,King,18345 Campus Way NE,Bothell,98011
Hopelink Bellevue,Connection,King,14812 Main St.,Bellevue,98007
Hopelink Kirkland,Connection,King,11011 120th Ave NE,Kirkland,98033
Hopelink Redmond,Connection,King,16725 Cleveland St.,Redmond,98052
Hopelink Shoreline,Connection,King,17839 Aurora Ave N,Shoreline,98133
Multiservice Center,Connection,King,1200 S. 336th St.,Federal Way,98003
Neighborhood House Birch Creek,Connection,King,13111 SE 274th St,Kent,98030
Renton Technical College,Connection,King,3000 NE 4th St,Renton,98056
Seattle Goodwill,Connection,King,700 Dearborn Place S.,Seattle,98144
Shoreline Community College,Connection,King,16101 Greenwood Ave. N.,Shoreline,98133
SnoCo Connect,Center,Snohomish,3201 Smith Ave.,Everett,98201
WorkSource Everett,Center,Snohomish,3201 Smith Ave.,Everett,98201
Edmonds College Career Center,Connection,Snohomish,20000 68th Ave. W.,Lynnwood,98036
Mill Creek Library,Connection,Snohomish,15429 Bothell Everett Hwy,Mill Creek,98012
Latino Educational Training Institute,Connection,Snohomish,6605 202nd St SW,Lynnwood,98036
